repository	commit	tree_status	root_canonical_directive_files	root_legacy_directive_files	all_directive_files	all_agentic_files	candidate_files	retrieved_files	authorization
hyperpolymath/.github	c4b7d102756aca44f0cb67289133cc326268fa22	tree_complete	0	0	0	0	2	0	not_evaluated
hyperpolymath/0patch-lsa-sentinel	16fa1023dcf81ee781505a665bbad180ad4280f6	tree_complete	1	0	1	1	6	2	not_evaluated
hyperpolymath/AcceleratorGate.jl	42e1c70a8bc28415426d9fc8b843763d31b936ce	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/Axiology.jl	bdcc9ee8269be484c62336ff480b0ea0b19c464b	tree_complete	7	0	7	1	14	10	not_evaluated
hyperpolymath/Axiom.jl	79e6f48c935e33553628fbddf7b598396c86670d	tree_complete	7	0	7	1	15	9	not_evaluated
hyperpolymath/BowtieRisk.jl	99aa25d93ea1d2bbedb14a21d13ded52fa6cbd60	tree_complete	4	0	4	1	11	8	not_evaluated
hyperpolymath/Causals.jl	d315ea9c018f97dd008112d77d389135a92b9484	tree_complete	7	0	7	1	14	11	not_evaluated
hyperpolymath/Cladistics.jl	9676037c3f638d7c4740ad970385e14ca1e7cb52	tree_complete	4	0	4	1	11	8	not_evaluated
hyperpolymath/Cliodynamics.jl	3ba7d0539e52bcfdad79cfa2f105bdfe666a7971	tree_complete	7	0	7	1	15	8	not_evaluated
hyperpolymath/Cliometrics.jl	aa536dde636e6e4a84a693c38f6d4f79fbf6ac52	tree_complete	7	0	7	1	14	8	not_evaluated
hyperpolymath/EchoTypes.jl	174ce566111a84fa4dfaffd1d9d22cc15d75d233	tree_complete	0	0	0	1	3	2	not_evaluated
hyperpolymath/EpistemicTypes.jl	774d19a897ac665c28dff8eef7ba3caa8ebaacdd	tree_complete	5	0	5	1	12	8	not_evaluated
hyperpolymath/Exnovation.jl	854c2671e74e39411b31e5dc9b643ac3ee808241	tree_complete	4	0	4	1	13	8	not_evaluated
hyperpolymath/FirmwareAudit.jl	ee646e2c182013e50ce1d16a66faf7e83e6cbdd3	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/HackenbushGames.jl	3fa6e7c25c95a41c0ff9462ea948e74019f1aac7	tree_complete	4	0	4	1	11	8	not_evaluated
hyperpolymath/HardwareResilience.jl	cee5dff4c7fb50ef2c04f1eb83d0008d17a097a2	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/Hyperpolymath.jl	f7dc30a9b42c4a5c0217f6a6c71ea6c2b18b9851	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/InvestigativeJournalism.jl	62bd0d201ca173dcfccd99fb06281b195f34f7cb	tree_complete	4	0	4	1	13	8	not_evaluated
hyperpolymath/JuliaForChildren.jl	6a0799708d105c96ef897c581c414fe8c6ff9a01	tree_complete	0	0	0	1	11	1	not_evaluated
hyperpolymath/JuliaKids.jl	a684b64c55ca581d330150f088903c8f0c655a43	tree_complete	0	0	0	1	11	1	not_evaluated
hyperpolymath/JuliaPackage-Reuse-Audit.jl	a834105d7ae4c609ef02d898391f8f31d08292c3	tree_complete	0	0	0	1	11	1	not_evaluated
hyperpolymath/KnotTheory.jl	dc48197ca0ccfe7e51b3f679cecbb95bfe13ea70	tree_complete	4	0	4	1	16	8	not_evaluated
hyperpolymath/LowLevel.jl	8b3b812084fc78d3ec8a86658d3308b6f61caa95	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/MacroPower.jl	ec0516f004488ad4f8eb402dc459090d051284e9	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/MetaManifold-WebUI	4a848daf43301df712a800fb8d759057bc869676	tree_complete	0	0	0	0	2	0	not_evaluated
hyperpolymath/PRComms.jl	e1ac55e72f86e16b29599bfd474463ba249f9c86	tree_complete	0	0	0	1	11	1	not_evaluated
hyperpolymath/PolyglotFormalisms.jl	4125c112c1da3d9c5138104fe2c9eab9bef2bcaf	tree_complete	4	0	4	1	11	8	not_evaluated
hyperpolymath/PostDisciplinary.jl	b4aeb768f3b6ff7d1bd3057eeb890fd292761e08	tree_complete	0	0	0	1	11	1	not_evaluated
hyperpolymath/Protoctist.jl	4f3a2b3cb0c9dd7391e563159b0bfa841cefba64	tree_complete	5	0	5	1	12	8	not_evaluated
hyperpolymath/QuantumCircuit.jl	824aa8ed1ae4d93ad2323cb864eb5259c8704a1f	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/SMTLib.jl	553d49e6cd69006ab8ebe049d20cc5ee8b85d8a3	tree_complete	4	0	4	1	12	8	not_evaluated
hyperpolymath/ShellIntegration.jl	fac654306b85a705ffab3d921ad1559227635b57	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/SiliconCore.jl	4f4e4008fcfe9b5d611dbd53bf3f81253955a435	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/Skein.jl	75bf084a1d369613a58ce534a700192c157b6dda	tree_complete	4	0	4	1	17	8	not_evaluated
hyperpolymath/SoftwareSovereign.jl	702ca8341b0ef7cd3a4abdd7ec53bca4448a595d	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/TradeUnionism.jl	02f14cce492c1278f4ee57db370e429aed3a6ab1	tree_complete	4	0	4	1	13	8	not_evaluated
hyperpolymath/ViableSystems.jl	8012d30ac7bb4cfa4bc6ad5c9d89b2474be0c365	tree_complete	4	0	4	1	11	9	not_evaluated
hyperpolymath/ZeroProb.jl	60cf0a009532af1c6fc68cb685ea4bbda9e4ba81	tree_complete	7	0	7	1	15	11	not_evaluated
hyperpolymath/absolute-zero	3e959cbc5b94c4ab199ef0567b45002043f24d75	tree_complete	4	0	4	1	13	7	not_evaluated
hyperpolymath/academic-workflow-suite	6d7cf3c368678d40e05edb6b19cf1233098b1d4f	tree_complete	4	0	4	1	12	9	not_evaluated
hyperpolymath/accessibility-everywhere	abf1cb182ceda1e7fc10dd9aa2add9a6758c2cbf	tree_complete	4	0	4	1	14	9	not_evaluated
hyperpolymath/action-trust-layers	dfb85512f72fc5d109aa2ea209387ae8471f65c5	tree_complete	0	0	0	1	6	2	not_evaluated
hyperpolymath/aerie	809cd83442339388dce1ce3da1119826d55a61ff	tree_complete	0	0	0	2	14	2	not_evaluated
hyperpolymath/affinescript	7963b46164a31e4c8941a7c3b73eabf43e326aa1	tree_complete	0	0	0	0	7	1	not_evaluated
hyperpolymath/affinescript-vite	70f13820b32c3363860f3b0a949bb3bc17d8014d	tree_complete	0	0	0	1	11	3	not_evaluated
hyperpolymath/affinescriptiser	a7218b67b1b3c420071ec0a1eb2b0bc42e32b132	tree_complete	0	0	0	1	14	3	not_evaluated
hyperpolymath/aggregate-library	1a35f8f98db633a8668fb4b7ce271f7a98630f35	tree_complete	0	0	0	1	7	2	not_evaluated
hyperpolymath/airborne-submarine-squadron	ce4a5153545144613a8294de8a752593c7cdf708	tree_complete	0	0	0	0	6	0	not_evaluated
hyperpolymath/alloyiser	b2a2c0d004003c67cf530db25d10b7c733b89f32	tree_complete	0	0	0	1	14	3	not_evaluated
hyperpolymath/ambientops	80da4cb253dff4a5708da98d364e40e2a5940f4f	tree_complete	0	0	0	27	107	29	not_evaluated
hyperpolymath/anamnesis	426ed55bd0d41460494e8d7ad656f750ab620ccc	tree_complete	0	0	0	1	12	2	not_evaluated
hyperpolymath/anvomidav	6bde311cd36b67eb908d2ec69301105a4e1bdcbd	tree_complete	0	0	0	0	8	0	not_evaluated
hyperpolymath/anvomidaviser	564385f9e301fb6876c76a7b0a281177a6a0cca2	tree_complete	0	0	0	1	13	2	not_evaluated
hyperpolymath/anytype	5c0dd9faee341d96ad409b24e00117fb17a0ecfe	tree_complete	4	0	4	1	15	9	not_evaluated
hyperpolymath/arghda-core	8443ed249e19276ef1b23fa90ddbbd040122986e	tree_complete	0	0	0	1	4	1	not_evaluated
hyperpolymath/asdf-tool-plugins	d05a7f5be5f1b103736a5d33334d299d8b002537	tree_complete	0	0	0	4	293	215	not_evaluated
hyperpolymath/aspasia	bf404d47aa8914e86ec388e2348b085320060c2d	tree_complete	0	0	0	1	11	1	not_evaluated
hyperpolymath/atsiser	ccd764c8d09afd240bced35be524a8394ec180b6	tree_complete	0	0	0	1	13	3	not_evaluated
hyperpolymath/awesome-agda	1f95179480d2529fbf8a08ff205a218185d2d646	tree_complete	0	0	0	0	1	0	not_evaluated
hyperpolymath/awesome-coq	1f3f838aac948abeca219ebf9f4ae0b15506c5df	tree_complete	0	0	0	0	1	0	not_evaluated
hyperpolymath/awesome-fsharp	dab0a1b7d4d4f365fa19c4a494f46a61be9a0624	tree_complete	0	0	0	0	1	0	not_evaluated
